,id,search_log_id,adults,children,picked_price,picked_room
939,7230,113989,2,0,,
940,7231,113990,1,0,,
941,7232,113991,2,0,,
942,7233,113992,3,2,202171.0,ROOMBB
943,7234,113993,2,0,,
944,7235,113993,2,0,,
945,7236,113994,2,0,,
946,7237,113994,2,0,,
947,7238,113995,2,0,,
948,7239,113996,4,0,,
949,7240,113997,2,0,,
950,7241,113997,2,0,,
951,7242,113998,2,2,,
952,7243,113999,2,0,,
953,7244,113999,2,0,,
954,7245,114000,2,0,94914.0,ROOMFF
955,7246,114001,2,0,,
956,7247,114002,2,0,,
957,7248,114003,2,0,,
958,7249,114004,2,0,,
959,7250,114005,2,0,,
960,7251,114006,2,0,,
961,7252,114007,2,0,,
962,7253,114008,1,1,,
963,7254,114009,2,0,,
964,7255,114010,2,0,,
965,7256,114011,2,3,,
966,7257,114012,2,2,,
967,7260,114015,2,1,,
968,7261,114016,2,1,,
969,7262,114017,2,0,,
970,7263,114018,2,0,,
971,7264,114019,2,0,,
